,train_loss,test_loss,train_acc,test_acc,lr,average_inference_time
0,2.535464884067068,2.196870577335358,0.361,0.4262,0.009999383162408303,0.00877755
1,1.7875908540219676,2.0094959795475007,0.51874,0.4736,0.009997532801828657,0.006252700000000002
2,1.5237537488645436,1.9392791092395782,0.57996,0.4856,0.00999444937480985,0.006423900000000003
3,1.3435152197370723,1.9831720829010009,0.62456,0.4852,0.009990133642141357,0.0063265499999999985
4,1.2220385001630198,1.9809695303440094,0.65416,0.4917,0.009984586668665639,0.0063348000000000015
5,1.1282581717384106,2.0025780141353606,0.67976,0.4911,0.009977809823015398,0.00645155
6,1.031808535663449,1.9666878223419189,0.70394,0.5012,0.009969804777275897,0.0063266
7,0.9442146846226284,2.041554319858551,0.72944,0.4863,0.009960573506572387,0.007209300000000002
8,0.8946404870675535,1.9880131840705872,0.74186,0.5099,0.009950118288582784,0.006570350000000001
9,0.8226382440450241,2.0688558518886566,0.7614,0.4917,0.009938441702975684,0.006426650000000002
10,0.7883176055489755,2.1418567180633543,0.77,0.4832,0.009925546630773864,0.0064767
11,0.7280507890545592,2.073880583047867,0.7844,0.4998,0.009911436253643439,0.006426450000000003
12,0.6936370322898943,2.1139592111110685,0.79296,0.4983,0.009896114053108824,0.006351650000000003
13,0.6362386707748685,2.202958047389984,0.81278,0.4842,0.009879583809693733,0.006376700000000001
14,0.6060873516360108,2.1866760730743406,0.82072,0.4943,0.009861849601988378,0.00640175
15,0.572988643634076,2.221505719423294,0.83016,0.4834,0.00984291580564315,0.006627700000000003
16,0.5366311328751701,2.1763364493846895,0.84088,0.5,0.009822787092288985,0.006379650000000002
17,0.5132616271778029,2.204731512069702,0.84742,0.4955,0.00980146842838471,0.006451250000000001
18,0.4696938772590793,2.2491231322288514,0.86068,0.4927,0.009778965073991645,0.0062549000000000025
19,0.4497241344378919,2.2863983392715452,0.86636,0.4899,0.009755282581475762,0.006316600000000001
