,train_loss,test_loss,train_acc,test_acc,lr,average_ineference_time
0,4.459843030671024,3.841901148421855,0.06226,0.116,0.009999383162408303,7.27000719384302
1,3.796108219629663,3.6095282065717478,0.12502,0.1652,0.009997532801828657,6.605875642993782
2,3.522556834208691,3.4004851775833322,0.16496,0.21,0.00999444937480985,6.6737253454667105
3,3.314821266457248,3.226609746112099,0.19888,0.2307,0.009990133642141357,6.799284415909007
4,3.1751161005795763,3.1637805353237103,0.22164,0.2504,0.009984586668665639,6.589602820480926
5,3.0436490124753672,2.991999076891549,0.24374,0.272,0.009977809823015398,6.589415707165682
6,2.9254973288387287,3.043127539791638,0.26516,0.2804,0.009969804777275897,6.606153295009951
7,2.8315277166683654,2.922220637526693,0.2869,0.2957,0.009960573506572387,6.6004584107217905
8,2.726874887485943,2.795943531808974,0.30724,0.32,0.009950118288582784,6.648229647286331
9,2.634991736058384,2.758838753157024,0.32418,0.3225,0.009938441702975684,6.4785148524030856
10,2.550131692300977,2.6926222571843788,0.33946,0.3374,0.009925546630773864,6.502447249014167
11,2.477017556919771,2.7622584421423415,0.35734,0.3468,0.009911436253643439,6.547472144983992
12,2.411993570644837,2.732453735568855,0.37152,0.3394,0.009896114053108824,6.542166577109808
13,2.385123163842789,2.4983588110042523,0.3756,0.3706,0.009879583809693733,6.578086297723312
14,2.2854669033109074,2.4537208019932613,0.39568,0.3856,0.009861849601988378,6.41387021994289
15,2.201217766612997,2.436034041115,0.41254,0.3852,0.00984291580564315,6.458762325818026
16,2.213771088653818,2.520814554600776,0.41318,0.3586,0.009822787092288985,6.617609458633616
17,2.1728276069206958,2.4331597738628146,0.41858,0.3862,0.00980146842838471,6.401517723180071
18,2.055278997287116,2.4672597707072392,0.4463,0.4025,0.009778965073991645,6.514715242989456
19,1.9966737595970367,2.322745780401592,0.45664,0.4039,0.009755282581475762,6.527161296409897
20,1.9195818824841238,2.282621576816221,0.47344,0.4191,0.00973042679413772,6.526998326748232
21,1.8375764143131579,2.3029724510410166,0.49404,0.4217,0.00970440384477112,6.52068174338039
22,1.7840904509624862,2.2666919472851332,0.50298,0.4261,0.00967722015414933,6.5794956835010385
23,1.7085141538049253,2.214554626730424,0.52138,0.4355,0.00964888242944125,6.533972824676128
24,1.6568787847943318,2.1566082993640174,0.53096,0.4463,0.009619397662556426,6.622806380066691
25,1.597605380560736,2.2082889366753493,0.54692,0.4411,0.009588773128419898,6.489578681656077
26,1.5291668649219796,2.1773434500151043,0.56518,0.4479,0.009557016383177219,6.575581393664396
27,1.487468925888276,2.202710752245746,0.57292,0.4541,0.009524135262330091,6.445628178270558
28,1.4243243734549988,2.130401368382611,0.59204,0.4586,0.009490137878803071,6.566859498808656
29,1.3753859094341698,2.1646353262889235,0.60226,0.4569,0.009455032620941833,6.4730372609971445
30,1.3322994294373884,2.1379199012925354,0.61456,0.4649,0.009418828150443462,6.497075286092637
31,1.2747263525757948,2.2196385347390475,0.625,0.4629,0.009381533400219312,6.4144557035422025
32,1.2343334962644845,2.2128269657304016,0.63394,0.4657,0.00934315757219095,6.451802917673618
33,1.1838001823791153,2.165250686150563,0.65134,0.4748,0.009303710135019712,6.558711015725438
34,1.1447026557324793,2.146545582179782,0.65886,0.466,0.009263200821770455,6.624822375140613
35,1.0927240180847284,2.171405943134163,0.67354,0.4684,0.009221639627510068,6.62947606436814
36,1.069545337001381,2.1140277023556866,0.6823,0.4755,0.009179036806841345,6.540733047678501
37,1.0291935674979558,2.177369746980788,0.69296,0.4695,0.009135402871372801,6.675837915154952
38,0.9783756428057581,2.3002950209605544,0.70542,0.4601,0.00909074858712511,6.501931178418896
39,0.9541940027490601,2.2386945787864394,0.71112,0.4668,0.00904508497187473,6.672663024709195
40,0.9161251792517464,2.1813432868522935,0.72364,0.4785,0.008998423292435446,6.5396435653107075
41,0.8800252333016652,2.2231451529490798,0.73276,0.4772,0.008950775061878444,6.593342068829114
42,0.8604296052547367,2.170649359497843,0.738,0.4825,0.008902152036691641,6.465241878847532
43,0.8180080859557443,2.1966399422174767,0.75228,0.4788,0.008852566213878938,6.584722784501087
44,0.7903858020025141,2.2467247338234624,0.76018,0.4748,0.008802029828000147,6.521131418928316
45,0.767831377284911,2.185005598430392,0.76612,0.483,0.00875055534815229,6.609964974318879
46,0.7244064360475906,2.236284071886087,0.779,0.4822,0.008698155474893039,6.527073775665669
47,0.7174628105614801,2.237014776543726,0.78214,0.4774,0.008644843137107049,6.579474557804156
48,0.6941384668545345,2.324818197684952,0.78934,0.4714,0.008590631488815937,6.558641602721395
49,0.6682353249901091,2.3589380089240737,0.7976,0.4695,0.00853553390593273,6.6674993007997925
50,0.6402221892953224,2.1862678708909433,0.80592,0.4942,0.008479563982961564,6.546624099151997
51,0.6146706019521064,2.2867807014079036,0.8136,0.4819,0.008422735529643436,6.5688453143156025
52,0.6079177743638567,2.3105031840408903,0.81486,0.4809,0.008365062567548858,6.471117840537542
53,0.5941310258929992,2.28620445728302,0.81876,0.4792,0.008306559326618251,6.630064565924149
54,0.5721679533381596,2.3098313084131554,0.8264,0.481,0.00824724024165091,6.635647785814503
55,0.5485300730408915,2.296083213407782,0.83486,0.4854,0.008187119948743441,6.500995611842675
56,0.527417993225405,2.348490055603317,0.83878,0.4752,0.008126213281678518,6.873043277595617
57,0.5379645668179788,2.291268934177447,0.83704,0.482,0.008064535268264875,6.484164467340784
58,0.507362280050507,2.34057957160322,0.84742,0.4823,0.008002101126629413,6.635810755476167
59,0.499693977024854,2.3342652652837055,0.84914,0.487,0.00793892626146236,7.473785665970814
60,0.47877091245578074,2.3472284652009794,0.85528,0.4811,0.007875026260216387,8.781958229934112
61,0.4597644781136452,2.4164368215995498,0.86186,0.4736,0.0078104168892606475,6.466521492487268
62,0.46761216257539245,2.352469196802453,0.85792,0.4858,0.007745114089990652,6.618327732327618
63,0.4521620926039908,2.357693690287916,0.8627,0.4833,0.007679133974894976,6.622006621541856
64,0.43198344484924356,2.3902078700971,0.87114,0.4772,0.007612492823579738,6.470493123501162
65,0.41796319876485466,2.3684084038191204,0.8729,0.4814,0.0075452070787518505,6.53082207788395
66,0.4174101233787244,2.3737692863126343,0.87434,0.4891,0.0074772933421620325,6.409264818022523
67,0.4206774439043401,2.323762756359728,0.87468,0.4942,0.0074087683705085705,6.596900239775453
68,0.40790364496848164,2.3777908961984178,0.87768,0.4849,0.007339649071302862,6.696178943296022
69,0.39189090261526427,2.383735569217537,0.88316,0.4874,0.007269952498697729,6.5305655515646635
